article_id	talk_page_id	talk_page_title
19580849	19580849	User_talk:92.8.252.88
43094271	43094271	Talk:Port_of_Skagen/GA1
43987553	43987553	Talk:Soumen_Chakrabarti
31686622	31686622	User_talk:85.211.143.82
34744431	34744431	Talk:Confidence_Group
19638864	19638864	User_talk:86.129.231.93
39854984	39854984	Talk:Matheass
27262826	27262826	User_talk:69.47.178.173
13133047	13133047	User_talk:DavidPen
19810072	19810072	User_talk:68.59.8.141
43436344	43436344	User_talk:74.192.47.131
26108383	26108383	User_talk:68.81.164.225
37491430	37491430	Talk:Catullus_16/Archive_1
36681362	14916849	Talk:Whitehead_baronets
30921258	30921258	Talk:Pablo_Corral
4853207	4853207	User_talk:This_Guy_Here
25236665	25236665	User_talk:D-s-weld
27758013	27758013	Talk:Ontario_Highway_401/GA1
18510100	16140430	Talk:Cultus_deorum
36275624	2949038	Talk:Euribor
44008323	44008323	User_talk:39.55.224.48
40794276	40794276	User_talk:Montanabw/List
22207942	22207942	Talk:Kore_&_Skalp
28739539	28739539	Talk:KOO-VEE_(ice_hockey)
20377295	20377295	Talk:Massimo_D'Alelio
20066079	20066079	User_talk:58.96.105.248
45147754	45147754	Talk:2014_Adelaide_United_W-League_season
19816995	19816995	Talk:My_Story_(Scholastic_UK)
17212396	17212396	Talk:Hovhannes
37596292	37596292	Talk:United_Services_Portsmouth_Rugby_Football_Club
24666222	24666222	User_talk:160.7.162.116
13641924	13641924	User_talk:Supererkid
44770947	44769857	Talk:The_Firm_(soundtrack)
22101391	22101391	Talk:Osman's_Dream
26698953	26698953	User_talk:75.108.246.187
10878414	10878414	Talk:Lon_A._Scott
17912015	17912015	User_talk:HeartlandIntl
8177936	8177936	User_talk:Nongfarang
38737176	38737176	User_talk:24.146.130.24
43275548	43275548	User_talk:122.169.145.94
14530013	14530013	Talk:Non-classical_analysis
20727354	20727354	User_talk:Isthatyourmum
45003380	45003380	Talk:National_Bank_of_Delaware
22810535	22810535	User_talk:219.89.161.52
13633856	13633856	User_talk:86.129.101.31
32892512	32892512	Talk:1984_UEFA_European_Under-16_Championship
40361690	40361690	User_talk:182.178.97.91
31271126	31271126	Talk:There's_Never_a_Forever_Thing
34837569	34837569	User_talk:75.80.64.106
41920847	41920847	User_talk:EAB_Emco_Wheaton
11824178	11824178	User_talk:193.51.83.2
45991866	45991866	User_talk:Maysil~enwiki
11189888	11189888	Talk:Mamou,_Louisiana
44366155	44366155	Talk:Lance_Mounsey
18826461	18826461	Talk:Houston_Harte_University_Center
27877123	27877123	Talk:Hesta_Prynn
18873126	18873126	Talk:Czerwony_Krzyż,_Podlaskie_Voivodeship
27264731	27264731	User_talk:Johnnyzen2002
37282239	37282239	User_talk:212.44.13.194
29111352	29111352	Talk:Vishal_Sangh
41832388	41832388	User_talk:184.175.30.76
42111496	42111496	User_talk:85.225.196.68
15093412	15093412	Talk:Tom_Mintier
46685863	46685863	User_talk:79.40.12.138
5054958	5054958	Talk:National_Defense_Reserve_Fleet
46039487	46039487	User_talk:Ragade~enwiki
23484145	23484145	User_talk:211.28.195.106
19486189	19416252	Talk:Airbourne_(air_show)
22540766	22540766	Talk:Progress_State_Research_and_Production_Rocket_Space_Center
23468906	23468906	Talk:Monument_aux_Morts_de_Montauban
45345901	45345901	Talk:Gillilandtown,_New_Jersey
20839152	4514586	User_talk:Boreas74
15760913	15760913	User_talk:68.191.39.40
37602389	37602389	Talk:1977_FESPIC_Games
15514808	15514808	Talk:Kopfing_im_Innkreis
31561545	31561545	User_talk:98.236.99.121
5215965	5215965	Talk:Centrahoma,_Oklahoma
30693642	30693642	User_talk:LittleBritainX
4264174	4264174	User_talk:71.197.158.25
43479884	43479884	Talk:Club_des_Femmes
34105585	34105585	Talk:Healey,_Northumberland
24257713	24257713	Talk:Klajdi_Kuka
24196718	24196718	User_talk:Kurdusa
41499027	41499027	Talk:Fragaria_cascadensis
40465527	40465527	Talk:Kaldafjellet
47517508	47517508	Talk:Pierre_Kleykamp
24929419	24929419	User_talk:68.14.189.114
8297845	8297845	Talk:Jamie_Spencer
36744191	36744191	User_talk:186.104.182.147
31055941	31055941	Talk:Substation_401
37781537	37781537	User_talk:Siddhesht
5562976	5562976	User_talk:Local_Direct_Ltd
35339517	35339517	User_talk:Funkylasse
23693779	23693779	Talk:Royal_dukedoms_in_the_United_Kingdom
37605911	37605911	User_talk:86.144.127.184
37050828	37050828	User_talk:117.205.249.72
41978915	41978915	User_talk:24.224.240.180
11001655	11001655	User_talk:Cooljana2k
34646647	34646647	User_talk:Kepley101
32903291	32903291	Talk:Yoshida_Castle
11152274	11152274	User_talk:Ebiya~enwiki
20404742	20404742	User_talk:Mr._Maverick33
19893947	19893947	User_talk:98.19.82.3
10292097	10292097	Talk:Agrihan
20702167	20702167	Talk:Cherukunnu
23542666	23542666	Talk:Bulgarian_parliamentary_election,_1997
12971238	12971238	Talk:Co-phenotrope
5425524	5425524	Talk:IsoHunt
