article_id	talk_page_id	talk_page	thread_id	thread_title
19580849	19580849	User_talk:92.8.252.88	2	== October 2008 ==
43094271	43094271	Talk:Port_of_Skagen/GA1	7	==GA Review==
34744431	34744431	Talk:Confidence_Group	22	== Fair use candidate from Commons: [[:File:CCLlogo.jpg]] ==
19638864	19638864	User_talk:86.129.231.93	26	== October 2008 ==
27262826	27262826	User_talk:69.47.178.173	33	== May 2010 ==
43436344	43436344	User_talk:74.192.47.131	45	== July 2014 ==
26108383	26108383	User_talk:68.81.164.225	50	== February 2010 ==
37491430	37491430	Talk:Catullus_16/Archive_1	56	==Is this real or a hoax?==
37491430	37491430	Talk:Catullus_16/Archive_1	60	==Rough translation==
37491430	37491430	Talk:Catullus_16/Archive_1	62	==Gangsta version==
37491430	37491430	Talk:Catullus_16/Archive_1	65	==Regarding sources==
37491430	37491430	Talk:Catullus_16/Archive_1	69	==Identity of Furius and Aurelius==
37491430	37491430	Talk:Catullus_16/Archive_1	73	==Translation==
37491430	37491430	Talk:Catullus_16/Archive_1	81	== Suggestions ==
37491430	37491430	Talk:Catullus_16/Archive_1	83	== irrumabo et pedicabo: my two cents' ==
37491430	37491430	Talk:Catullus_16/Archive_1	87	==Multiple translations?==
37491430	37491430	Talk:Catullus_16/Archive_1	90	==Wikilinks==
37491430	37491430	Talk:Catullus_16/Archive_1	94	==Emphasis and notability==
37491430	37491430	Talk:Catullus_16/Archive_1	98	== Translations ==
37491430	37491430	Talk:Catullus_16/Archive_1	114	== Just passing by ==
37491430	37491430	Talk:Catullus_16/Archive_1	116	== When was this written? ==
37491430	37491430	Talk:Catullus_16/Archive_1	119	== Modern English adaptation ==
37491430	37491430	Talk:Catullus_16/Archive_1	122	== bravo ==
37491430	37491430	Talk:Catullus_16/Archive_1	126	==Catamite==
37491430	37491430	Talk:Catullus_16/Archive_1	129	== Modern Reception section ==
37491430	37491430	Talk:Catullus_16/Archive_1	131	== 'pathicus' doesn't mean 'cocksucker' ==
27758013	27758013	Talk:Ontario_Highway_401/GA1	153	==GA Review==
18510100	16140430	Talk:Cultus_deorum	170	==Strange name==
44008323	44008323	User_talk:39.55.224.48	180	==Recent edit to [[Bajwa]]==
20377295	20377295	Talk:Massimo_D'Alelio	195	== European Championships ==
20377295	20377295	Talk:Massimo_D'Alelio	197	== World Grand Master #10 ==
20066079	20066079	User_talk:58.96.105.248	202	== November 2008 ==
26698953	26698953	User_talk:75.108.246.187	230	== March 2010 ==
10878414	10878414	Talk:Lon_A._Scott	237	== WikiProject class rating==
17912015	17912015	User_talk:HeartlandIntl	241	==Speedy deletion of [[:Heartland International]]==
17912015	17912015	User_talk:HeartlandIntl	243	==License tagging for Image:Heartland International Logo.jpg==
8177936	8177936	User_talk:Nongfarang	249	==Commercial use of [[:Image:Dhammakaya stupa.jpg]]==
38737176	38737176	User_talk:24.146.130.24	253	== March 2013 ==
43275548	43275548	User_talk:122.169.145.94	258	== Welcome to Wikipedia! ==
43275548	43275548	User_talk:122.169.145.94	260	== July 2014 ==
14530013	14530013	Talk:Non-classical_analysis	266	== General ==
14530013	14530013	Talk:Non-classical_analysis	268	== Abstract Stone Duality ==
14530013	14530013	Talk:Non-classical_analysis	270	== OR? ==
22810535	22810535	User_talk:219.89.161.52	281	== May 2009 ==
13633856	13633856	User_talk:86.129.101.31	285	== October 2007 ==
40361690	40361690	User_talk:182.178.97.91	293	== August 2013 ==
41920847	41920847	User_talk:EAB_Emco_Wheaton	306	==[[Wikipedia:Criteria for speedy deletion|Speedy deletion]] nomination of [[:Emco Wheaton]]==
11824178	11824178	User_talk:193.51.83.2	310	== June 2007 ==
45991866	45991866	User_talk:Maysil~enwiki	314	== Your account will be renamed ==
45991866	45991866	User_talk:Maysil~enwiki	317	== Renamed ==
11189888	11189888	Talk:Mamou,_Louisiana	323	== External links modified ==
27264731	27264731	User_talk:Johnnyzen2002	341	== May 2010 ==
37282239	37282239	User_talk:212.44.13.194	345	== October 2012 ==
37282239	37282239	User_talk:212.44.13.194	349	== October 2012 ==
37282239	37282239	User_talk:212.44.13.194	351	== November 2012 ==
37282239	37282239	User_talk:212.44.13.194	356	== November 2012 ==
37282239	37282239	User_talk:212.44.13.194	361	== December 2012 ==
37282239	37282239	User_talk:212.44.13.194	365	== December 2012 ==
37282239	37282239	User_talk:212.44.13.194	369	== January 2013 ==
37282239	37282239	User_talk:212.44.13.194	373	== March 2013 ==
37282239	37282239	User_talk:212.44.13.194	378	== March 2013 ==
37282239	37282239	User_talk:212.44.13.194	385	== June 2013 ==
37282239	37282239	User_talk:212.44.13.194	388	== January 2014 ==
37282239	37282239	User_talk:212.44.13.194	393	== March 2015 ==
41832388	41832388	User_talk:184.175.30.76	401	==February 2014==
41832388	41832388	User_talk:184.175.30.76	403	== September 2014 ==
42111496	42111496	User_talk:85.225.196.68	408	== March 2014 ==
15093412	15093412	Talk:Tom_Mintier	414	== Link that lists bio Comment ==
15093412	15093412	Talk:Tom_Mintier	417	== work in Thialand Comment ==
46685863	46685863	User_talk:79.40.12.138	421	== May 2015 ==
5054958	5054958	Talk:National_Defense_Reserve_Fleet	427	== Merger Discussion ==
5054958	5054958	Talk:National_Defense_Reserve_Fleet	437	== Blue Norway ==
5054958	5054958	Talk:National_Defense_Reserve_Fleet	439	==Looping &quot;see also&quot;==
46039487	46039487	User_talk:Ragade~enwiki	443	== Your account will be renamed ==
46039487	46039487	User_talk:Ragade~enwiki	446	== Renamed ==
23484145	23484145	User_talk:211.28.195.106	451	== July 2009 ==
19486189	19416252	Talk:Airbourne_(air_show)	456	== Proposed move ==
20839152	4514586	User_talk:Boreas74	470	====[[User_talk:Boreas74/Archive 2007|&lt;font face=&quot;Century Gothic&quot;&gt;'''Talk Archive 1'''&lt;/font&gt;]]====
20839152	4514586	User_talk:Boreas74	471	====[[User_talk:Boreas74/TalkArchive 2|&lt;font face=&quot;Century Gothic&quot;&gt;'''Talk Archive 2'''&lt;/font&gt;]]====
20839152	4514586	User_talk:Boreas74	472	== Take a look at what the Eurobarometer poll says about language use in Europe. ==
15760913	15760913	User_talk:68.191.39.40	477	== February 2008 ==
31561545	31561545	User_talk:98.236.99.121	487	==April 2011==
30693642	30693642	User_talk:LittleBritainX	494	== Welcome to Wikipedia! ==
24196718	24196718	User_talk:Kurdusa	511	==[[Wikipedia:Criteria for speedy deletion|Speedy deletion]] nomination of [[:Kurdish Youth Club]]==
24929419	24929419	User_talk:68.14.189.114	525	== November 2009 ==
8297845	8297845	Talk:Jamie_Spencer	531	==Untitled==
8297845	8297845	Talk:Jamie_Spencer	533	== To the IP editor who keeps blanking sections of this article ==
36744191	36744191	User_talk:186.104.182.147	537	== Welcome! ==
36744191	36744191	User_talk:186.104.182.147	538	== Welcome to Wikipedia! ==
36744191	36744191	User_talk:186.104.182.147	540	== August 2012 ==
